ID,Source_File,Date,Category_Large,Category_Medium,Symptom,Action_Taken,Tags
"hw-ssd-nvme-timeout","JEDEC/NVMe 표준 진단 규격","2026-09-18","하드웨어","SSD","대용량 파일 쓰기 또는 부팅 직후 NVMe SSD 디스크 활성 시간 100% 지속 및 애플리케이션 프리징","1. PCIe 링크 상태 전원 관리 해제
2. APST 절전 지연 시간 조정
3. 전용 드라이버 및 최신 펌웨어 설치","하드웨어,SSD,NVMe,I/O타임아웃,SMART,드라이버"
"os-win-bsod-stopcode","Microsoft Learn & Windows 지원 커뮤니티","2026-09-18","소프트웨어","블루스크린(BSOD)","OS 구동 중 BSOD(Blue Screen of Death) 중지 코드 발생, 부팅 실패 및 업데이트 오류","1. BSOD 중지 코드(DPC_WATCHDOG_VIOLATION 등) 분석
2. 안전모드 진입 후 드라이버/업데이트 롤백
3. SFC 및 DISM 시스템 파일 복구 명령어 실행","소프트웨어,OS,Windows,BSOD,BlueScreen,BootFailure,MicrosoftLearn"
"hw-diag-beep-led","제조사별 기술 지원 포털(Dell, Lenovo, HP, 삼성 등)","2026-09-18","하드웨어","BIOS","전원 인가 시 화면 미출력, 비프음(Beep Code) 발생 및 메인보드 LED 점멸, 전원 불량","1. 제조사별 비프음/LED 패턴 카운트 확인
2. 부품별 자가 조치 매뉴얼 가이드 적용
3. 파워서플라이 및 메모리/그래픽카드 재장착","하드웨어,BeepCode,LED패턴,전원불량,Dell,Lenovo,HP"
"hw-diy-ram-gpu-instability","퀘이사존(Quasarzone) & 쿨엔조이(Coolenjoy)","2026-09-18","하드웨어","데스크탑","전원 인가 불가, RAM 접촉 불량으로 인한 화면 미출력, 고주파음, 오버클럭 충돌, GPU 드라이버 꼬임","1. RAM 금단자 세척 및 단일 슬롯 테스트
2. DDU(Display Driver Uninstaller)를 이용한 안전모드 드라이버 재설치
3. XMP/EXPO 오버클럭 해제 및 BIOS 초기화","하드웨어,RAM접촉불량,고주파음,오버클럭,GPU드라이버,Quasarzone,Coolenjoy"
"hw-global-compatibility-shutdown","Tom's Hardware Forums","2026-09-18","하드웨어","전원/파워","고부하 작업 시 PC 차단(System Shutdown) 및 특정 메인보드-GPU 호환성 충돌","1. PSU Peak Power 모니터링 및 독립 PCIe 전원 케이블 연결
2. 메인보드 최신 BIOS 업데이트
3. GPU PCIe Mode 설정(Gen4 -> Gen3) 검토","하드웨어,Hardware,TomsHardware,Compatibility,Shutdown,PowerSupply,BIOS"
"sec-malware-ransomware-registry","BleepingComputer","2026-09-18","소프트웨어","보안/복구","악성코드 감염, 랜섬웨어 파일 암호화, Windows 시스템 파일 손상 및 레지스트리 비정상 변경","1. BleepingComputer 전용 복구 툴(RKill, Malwarebytes) 활용
2. Safe Mode 진입 후 악성 프로세스 및 레지스트리 키 제거
3. 복원 지점(VSS) 및 백업을 통한 파일 복구","소프트웨어,Security,BleepingComputer,Malware,Ransomware,Registry,SystemRepair"
"ent-network-ad-printer","쉐어드IT(SharedIT)","2026-09-18","네트워크","네트워크 보안","업무용 PC 네트워크 끊김, Active Directory(AD) 도메인 로그인 실패, 프린터 공유 드라이버 충돌","1. IP/DNS 바인딩 및 AD 트러스트 관계 재설정
2. SMB 프로토콜 및 프린터 스풀러(Spooler) 재시작
3. 업무망 GPO(그룹 정책) 업데이트","IT관리,SharedIT,AD도메인,네트워크,프린터공유,업무용PC"
"ent-global-deployment-remote","Spiceworks Community","2026-09-18","소프트웨어","기본 프로그램","대규모 업무용 PC OS 이미지 배포 오류, 원격 지원 접속 장애, 고장 증상 관리 티켓 증가","1. PXE 부팅 및 Sysprep 이미지 재생성
2. 원격 에이전트 포트/방화벽 정책 점검
3. 통합 유지보수 체크리스트 적용","소프트웨어,Enterprise,Spiceworks,PCDeployment,RemoteSupport,SysAdmin"
"ms-update-80070002","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80070002] Windows 업데이트 다운로드 또는 설치 중 0x80070002 오류 발생하며 업데이트 중단","1. Windows Update 및 BITS 서비스 중지: net stop wuauserv, net stop bits 2. C:\Windows\SoftwareDistribution 폴더 내용 전체 삭제 3. 서비스 재시작 및 업데이트 재시도","소프트웨어,WindowsUpdate,0x80070002,ERROR_FILE_NOT_FOUND,WindowsUpdate,SoftwareDistribution,BITS,DISM"
"ms-update-80070003","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80070003] Windows Update 진행 중 0x80070003 경로를 찾을 수 없음 오류 발생","DISM 컴포넌트 복구 및 시스템 파일 무결성 복구(sfc /scannow) 후 임시 캐시 초기화","소프트웨어,WindowsUpdate,0x80070003,ERROR_PATH_NOT_FOUND,DISM,sfc,컴포넌트저장소,WindowsUpdate"
"ms-update-80070005","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80070005] 업데이트 설치 중 0x80070005 액세스가 거부되었습니다 오류 표출","1. 타사 안티바이러스 실시간 감시 일시 중단 2. SubInACL 또는 윈도우 기본 권한 재설정","소프트웨어,WindowsUpdate,0x80070005,ERROR_ACCESS_DENIED,액세스거부,클린부팅,WindowsUpdate,권한복구"
"ms-update-80070057","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80070057] Windows Update 또는 백업 작업 시 매개 변수가 틀립니다(0x80070057) 오류 발생","1. chkdsk C: /f 디스크 검사 2. 시스템 예약 파티션 여유 공간 확보 3. 레지스트리 구분자 확인","소프트웨어,WindowsUpdate,0x80070057,ERROR_INVALID_PARAMETER,chkdsk,디스크관리,파티션,WindowsUpdate"
"ms-update-80070422","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80070422] Windows 업데이트를 확인할 수 없음 오류 0x80070422 표시","services.msc에서 Windows Update 서비스를 시작 유형 [자동]으로 변경 후 시작","소프트웨어,WindowsUpdate,0x80070422,ERROR_SERVICE_DISABLED,서비스관리,wuauserv,BITS,WindowsUpdate"
